model,seed,ap,auc,op1_f1,op1_recall,op1_precision,op1_fa24h,op1_delay,op1_tp,op1_fp,op2_f1,op2_recall,op2_precision,op2_fa24h,op2_delay,op2_tp,op2_fp,op3_f1,op3_recall,op3_precision,op3_fa24h,op3_delay,op3_tp,op3_fp,metrics_path
ctr_c2_rank8,1337,0.9782570707091178,0.9864710365853658,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.460869550704956,5,1,1.0,1.0,1.0,0.0,3.02608699798584,5,0,1.0,1.0,1.0,0.0,3.02608699798584,5,0,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s1337.json
ctr_c2_rank8,17,0.9615220396460924,0.9746570121951219,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.7739130020141602,5,1,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,2.08695650100708,5,1,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,2.08695650100708,5,1,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s17.json
ctr_c2_rank8,2025,0.9802538751379581,0.9878048780487805,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.4608695030212402,5,1,1.0,1.0,1.0,0.0,2.921739101409912,5,0,1.0,1.0,1.0,0.0,2.921739101409912,5,0,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s2025.json
ctr_c2_rank8,33724876,0.9661806797913967,0.9771341463414634,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.9826087474822998,5,1,0.5714285714285715,0.4,1.0,0.0,4.17391312122345,2,0,0.5714285714285715,0.4,1.0,0.0,4.17391312122345,2,0,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s33724876.json
ctr_c2_rank8,42,0.9830563752795488,0.9899009146341464,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.6695651531219482,5,1,0.888888888888889,0.8,1.0,0.0,4.56521737575531,4,0,0.888888888888889,0.8,1.0,0.0,4.56521737575531,4,0,outputs\metrics\ctr_gcn_caucafall_c2_rank8_s42.json
ctr_c2_bone,1337,0.979602155760244,0.9874237804878049,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.6695651531219482,5,1,1.0,1.0,1.0,0.0,4.069565153121948,5,0,1.0,1.0,1.0,0.0,4.069565153121948,5,0,outputs\metrics\ctr_gcn_caucafall_c2_bone_s1337.json
ctr_c2_bone,17,0.9842743188527662,0.9912347560975611,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.1478260993957519,5,1,0.888888888888889,0.8,1.0,0.0,3.7826087474823,4,0,0.888888888888889,0.8,1.0,0.0,3.7826087474823,4,0,outputs\metrics\ctr_gcn_caucafall_c2_bone_s17.json
ctr_c2_bone,2025,0.9842452210924075,0.9916158536585367,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.1478260993957519,5,1,1.0,1.0,1.0,0.0,4.486956548690796,5,0,1.0,1.0,1.0,0.0,4.486956548690796,5,0,outputs\metrics\ctr_gcn_caucafall_c2_bone_s2025.json
ctr_c2_bone,33724876,0.9819588892501718,0.9900914634146342,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.669565200805664,5,1,0.888888888888889,0.8,1.0,0.0,5.347826182842255,4,0,0.888888888888889,0.8,1.0,0.0,5.347826182842255,4,0,outputs\metrics\ctr_gcn_caucafall_c2_bone_s33724876.json
ctr_c2_bone,42,0.9814876540864745,0.9887576219512195,0.9090909090909091,1.0,0.8333333333333334,940.9090909090911,1.669565200805664,5,1,0.888888888888889,0.8,1.0,0.0,3.9130433797836304,4,0,0.888888888888889,0.8,1.0,0.0,3.9130433797836304,4,0,outputs\metrics\ctr_gcn_caucafall_c2_bone_s42.json
