model,seed,video_id,src,true_label,pred_label,status,match,event_count,max_p_fall,mean_p_fall,max_lying,mean_motion_high,first_event_start_s,n_windows
ctr_gcn,2025,kitchen__kitchen_side_2,/Users/ruzhan/fall_test/kitchen/kitchen_side_2.mp4,1,0,FN,0,0,0.007432452403008938,0.00030540881562046707,0.2887519896030426,0.0,,29
ctr_gcn,2025,kitchen_adl__kitchen_lie_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_1.mp4,0,1,FP,0,1,0.9682419300079346,0.19959284365177155,0.7811341881752014,0.006069473456591368,22.366666793823242,46
ctr_gcn,2025,kitchen_adl__kitchen_lie_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_2.mp4,0,1,FP,0,1,0.9975109100341797,0.5268032550811768,0.5099090933799744,0.06706954538822174,11.166666984558105,28
ctr_gcn,2025,kitchen_adl__kitchen_sit_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_1.mp4,0,0,TN,1,0,0.05278460681438446,0.00231228512711823,0.6994116902351379,0.0,,34
ctr_gcn,2025,kitchen_adl__kitchen_sit_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_2.mp4,0,0,TN,1,0,0.002445490099489689,0.0001401558838551864,0.4787076711654663,0.0,,31
ctr_gcn,2025,kitchen_adl__kitchen_sit_bend_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_bend_1.mp4,0,0,TN,1,0,0.034664832055568695,0.0018181295599788427,0.821293830871582,0.0,,55
ctr_gcn,2025,kitchen_adl__kitchen_walk_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_walk_1.mp4,0,0,TN,1,0,0.015760120004415512,0.0012478475691750646,0.4734242558479309,0.0,,39
ctr_gcn,33724876,corridor__corridor_back_1,/Users/ruzhan/fall_test/corridor/corridor_back_1.mp4,1,0,FN,0,0,0.12929220497608185,0.007663721218705177,0.4417036771774292,0.0,,26
ctr_gcn,33724876,corridor__corridor_back_2,/Users/ruzhan/fall_test/corridor/corridor_back_2.mp4,1,1,TP,1,1,0.9999997615814209,0.4965839684009552,0.5977294445037842,1.1354140043258667,13.566666603088379,30
ctr_gcn,33724876,corridor__corridor_front_1,/Users/ruzhan/fall_test/corridor/corridor_front_1.mp4,1,0,FN,0,0,0.2734503746032715,0.029200198128819466,0.11569336801767349,0.0,,26
ctr_gcn,33724876,corridor__corridor_front_2,/Users/ruzhan/fall_test/corridor/corridor_front_2.mp4,1,1,TP,1,1,0.9999985694885254,0.418549120426178,0.46425294876098633,0.363252729177475,13.566666603088379,25
ctr_gcn,33724876,corridor__corridor_side_1,/Users/ruzhan/fall_test/corridor/corridor_side_1.mp4,1,1,TP,1,1,0.9860081076622009,0.20398347079753876,0.09335821866989136,0.2418488711118698,2.366666555404663,30
ctr_gcn,33724876,corridor__corridor_side_2,/Users/ruzhan/fall_test/corridor/corridor_side_2.mp4,1,1,TP,1,1,0.9999295473098755,0.3734913170337677,0.0484088696539402,0.32415300607681274,14.366666793823242,26
ctr_gcn,33724876,corridor_adl__corridor_bend_1,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_1.mp4,0,0,TN,1,0,0.001102154841646552,0.0003152138087898493,0.09839737415313721,0.0,,17
ctr_gcn,33724876,corridor_adl__corridor_bend_2,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_2.mp4,0,0,TN,1,0,0.01086097676306963,0.002550738863646984,0.1789158582687378,0.0,,15
ctr_gcn,33724876,corridor_adl__corridor_squat_1,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_1.mp4,0,0,TN,1,0,0.0057905917055904865,0.00043698164517991245,0.01268019713461399,0.0,,24
ctr_gcn,33724876,corridor_adl__corridor_squat_2,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_2.mp4,0,1,FP,0,1,0.9999994039535522,0.22309641540050507,0.32345113158226013,0.2630167007446289,15.166666984558105,24
ctr_gcn,33724876,corridor_adl__corridor_walk_1,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_1.mp4,0,0,TN,1,0,0.004275678191334009,0.00048554263776168227,0.022322559729218483,0.0,,20
ctr_gcn,33724876,corridor_adl__corridor_walk_2,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_2.mp4,0,0,TN,1,0,0.09180717915296555,0.005452694837003946,0.11368703842163086,0.0,,18
ctr_gcn,33724876,kitchen__kitchen_back_1,/Users/ruzhan/fall_test/kitchen/kitchen_back_1.mp4,1,1,TP,1,1,0.9994402527809143,0.10555170476436615,0.37815216183662415,0.6763990521430969,2.366666555404663,21
ctr_gcn,33724876,kitchen__kitchen_back_2,/Users/ruzhan/fall_test/kitchen/kitchen_back_2.mp4,1,1,TP,1,1,0.9999986886978149,0.29126912355422974,0.4346223771572113,0.7641867399215698,19.96666717529297,34
ctr_gcn,33724876,kitchen__kitchen_front_1,/Users/ruzhan/fall_test/kitchen/kitchen_front_1.mp4,1,1,TP,1,1,0.8406927585601807,0.07513151317834854,0.09739884734153748,0.6285297274589539,2.366666555404663,14
ctr_gcn,33724876,kitchen__kitchen_front_2,/Users/ruzhan/fall_test/kitchen/kitchen_front_2.mp4,1,1,TP,1,1,0.9999014139175415,0.3276410698890686,0.47142964601516724,0.8027099370956421,19.16666603088379,29
ctr_gcn,33724876,kitchen__kitchen_side_1,/Users/ruzhan/fall_test/kitchen/kitchen_side_1.mp4,1,1,TP,1,1,0.9999868869781494,0.6865897178649902,0.5031375885009766,0.10780973732471466,7.166666507720947,36
ctr_gcn,33724876,kitchen__kitchen_side_2,/Users/ruzhan/fall_test/kitchen/kitchen_side_2.mp4,1,0,FN,0,0,0.1254449188709259,0.031301964074373245,0.2887519896030426,0.0,,29
ctr_gcn,33724876,kitchen_adl__kitchen_lie_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_1.mp4,0,1,FP,0,1,0.9608256816864014,0.23473577201366425,0.7811341881752014,0.05074262619018555,21.566667556762695,46
ctr_gcn,33724876,kitchen_adl__kitchen_lie_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_lie_2.mp4,0,1,FP,0,1,0.9843847751617432,0.5256401896476746,0.5099090933799744,0.06706954538822174,11.166666984558105,28
ctr_gcn,33724876,kitchen_adl__kitchen_sit_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_1.mp4,0,0,TN,1,0,0.47743818163871765,0.01583731546998024,0.6994116902351379,0.76082843542099,,34
ctr_gcn,33724876,kitchen_adl__kitchen_sit_2,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_2.mp4,0,0,TN,1,0,0.04343178868293762,0.0037210555747151375,0.4787076711654663,0.0,,31
ctr_gcn,33724876,kitchen_adl__kitchen_sit_bend_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_sit_bend_1.mp4,0,0,TN,1,0,0.20934483408927917,0.011604663915932178,0.821293830871582,0.0,,55
ctr_gcn,33724876,kitchen_adl__kitchen_walk_1,/Users/ruzhan/fall_test/kitchen_adl/kitchen_walk_1.mp4,0,0,TN,1,0,0.11427288502454758,0.0109630161896348,0.4734242558479309,0.0,,39
tcn,42,corridor__corridor_back_1,/Users/ruzhan/fall_test/corridor/corridor_back_1.mp4,1,1,TP,1,1,0.9988627433776855,0.42692849040031433,0.4417036771774292,0.3547592759132385,8.766666412353516,26
tcn,42,corridor__corridor_back_2,/Users/ruzhan/fall_test/corridor/corridor_back_2.mp4,1,1,TP,1,1,0.9999977350234985,0.5072854161262512,0.5977294445037842,1.1299322843551636,12.766666412353516,30
tcn,42,corridor__corridor_front_1,/Users/ruzhan/fall_test/corridor/corridor_front_1.mp4,1,1,TP,1,1,0.9977906942367554,0.3959764838218689,0.11569336801767349,0.38048550486564636,2.366666555404663,26
tcn,42,corridor__corridor_front_2,/Users/ruzhan/fall_test/corridor/corridor_front_2.mp4,1,1,TP,1,1,0.999995231628418,0.4262096881866455,0.46425294876098633,0.5163304209709167,12.766666412353516,25
tcn,42,corridor__corridor_side_1,/Users/ruzhan/fall_test/corridor/corridor_side_1.mp4,1,1,TP,1,1,0.9990824460983276,0.36119192838668823,0.09335821866989136,0.270951509475708,7.9666666984558105,30
tcn,42,corridor__corridor_side_2,/Users/ruzhan/fall_test/corridor/corridor_side_2.mp4,1,1,TP,1,1,0.9999854564666748,0.39198973774909973,0.0484088696539402,0.32415300607681274,14.366666793823242,26
tcn,42,corridor_adl__corridor_bend_1,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_1.mp4,0,0,TN,1,0,0.0763251930475235,0.017202988266944885,0.09839737415313721,0.0,,17
tcn,42,corridor_adl__corridor_bend_2,/Users/ruzhan/fall_test/corridor_adl/corridor_bend_2.mp4,0,0,TN,1,0,0.1174631342291832,0.03129230812191963,0.1789158582687378,0.0,,15
tcn,42,corridor_adl__corridor_squat_1,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_1.mp4,0,0,TN,1,0,0.4045712351799011,0.06074266508221626,0.01268019713461399,0.0,,24
tcn,42,corridor_adl__corridor_squat_2,/Users/ruzhan/fall_test/corridor_adl/corridor_squat_2.mp4,0,1,FP,0,1,0.9999960660934448,0.395569771528244,0.32345113158226013,0.5036846399307251,13.566666603088379,24
tcn,42,corridor_adl__corridor_walk_1,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_1.mp4,0,0,TN,1,0,0.19570767879486084,0.035654887557029724,0.022322559729218483,0.0,,20
tcn,42,corridor_adl__corridor_walk_2,/Users/ruzhan/fall_test/corridor_adl/corridor_walk_2.mp4,0,0,TN,1,0,0.1187799945473671,0.0345698706805706,0.11368703842163086,0.0,,18
tcn,42,kitchen__kitchen_back_1,/Users/ruzhan/fall_test/kitchen/kitchen_back_1.mp4,1,0,FN,0,0,0.24637506902217865,0.05626796931028366,0.37815216183662415,0.0,,21
tcn,42,kitchen__kitchen_back_2,/Users/ruzhan/fall_test/kitchen/kitchen_back_2.mp4,1,1,TP,1,1,0.9999810457229614,0.30289962887763977,0.4346223771572113,0.7641867399215698,19.16666603088379,34
