tag,val_recall,val_precision,val_f1,val_fa24h,test_recall,test_precision,test_f1,test_fa24h
cs20_ly25_mm20_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm35_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm35_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm50_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly25_mm50_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm20_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm20_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm35_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm35_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm50_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly35_mm50_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm20_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm20_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm35_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm35_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm50_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_mm50_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm20_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm20_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm35_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm35_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm50_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly25_mm50_req1_sg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly35_mm20_req1_nosg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
